iter	RMSE
0	0.6877842365
1	0.6639476533
2	0.6423225173
3	0.6227737435
4	0.6047222404
5	0.5897401498
6	0.5757841434
7	0.5632663264
8	0.5525286167
9	0.5419067163
10	0.5314419721
11	0.5231273243
12	0.5147294326
13	0.508033347
14	0.5011993731
15	0.495610148
16	0.4902604325
17	0.485562147
18	0.4816275126
19	0.4776262593
20	0.473641785
21	0.4702046929
22	0.4670324601
23	0.4645106795
24	0.461428696
25	0.4588190695
26	0.457171029
27	0.4552558799
28	0.4533556515
29	0.4516782984
30	0.4500466852
31	0.4480124037
32	0.4468084051
33	0.4456258019
34	0.4442945956
35	0.4432874053
36	0.4415204634
37	0.4408374695
38	0.439931755
39	0.4386739256
40	0.4378985882
41	0.4367908446
42	0.4361392586
43	0.4351782307
44	0.434122728
45	0.4334552567
46	0.4329360934
47	0.432207202
48	0.4312379294
49	0.4306155896
50	0.4299768017
51	0.4292848448
52	0.4284585124
53	0.4279616538
54	0.4273000962
55	0.4268900674
56	0.4263058119
57	0.4257923888
58	0.425204994
59	0.4248485245
60	0.4244858268
61	0.4239017156
62	0.4233305469
63	0.4230734414
64	0.4226109115
65	0.4221468648
66	0.4219270417
67	0.4214129651
68	0.4210996315
69	0.4207267978
70	0.4205108936
71	0.4201960584
72	0.4198342183
73	0.4192011046
74	0.418916782
75	0.4187029101
76	0.4182497471
77	0.4178133293
78	0.4174329452
79	0.4172319639
80	0.4167587194
81	0.4165553965
82	0.4162514329
83	0.4160363072
84	0.4156892353
85	0.415278663
86	0.4150631357
87	0.4148403808
88	0.4146556405
89	0.4144294101
90	0.4142248825
91	0.4139635639
92	0.4138521687
93	0.4137022492
94	0.41345061
95	0.4131105755
96	0.4129250111
97	0.4127658354
98	0.4126575777
99	0.4123673643
100	0.4120957195
101	0.4118015114
102	0.4117157554
103	0.4115506334
104	0.4112819926
105	0.4110113229
106	0.4109064941
107	0.4106876808
108	0.4104392827
109	0.4102495767
110	0.4100835763
111	0.4098893384
112	0.4096341728
113	0.4094112173
114	0.4092568099
115	0.4090766255
116	0.4088820349
117	0.4086514085
118	0.4085577825
119	0.4084478852
120	0.4083027017
121	0.4081376807
122	0.408038548
123	0.4079155897
124	0.4077930793
125	0.407672664
126	0.4075958065
127	0.4074409708
128	0.4072579731
129	0.407062575
130	0.4069296501
131	0.4068021273
132	0.4066631452
133	0.4066141949
134	0.406503042
135	0.4064218333
136	0.4063332769
137	0.4062463528
138	0.4060443666
139	0.4059225266
140	0.4058147587
141	0.4056991619
142	0.4054836047
143	0.4053300479
144	0.4052036739
145	0.4050735157
146	0.404857557
147	0.4047483703
148	0.4046683221
149	0.4045391479
150	0.4043510817
151	0.4042544661
152	0.4040490797
153	0.40387464
154	0.4037638439
155	0.4035938955
156	0.4034603773
157	0.4033054389
158	0.4032035777
159	0.4030751693
160	0.4029016465
161	0.4027073612
162	0.4025286128
163	0.4023133562
164	0.4021736549
165	0.4020316462
166	0.4018927879
167	0.4016804943
168	0.4015095072
169	0.4014026572
170	0.40123824
171	0.4011192727
172	0.4010028249
173	0.4009137335
174	0.4007421953
175	0.4005715629
176	0.4004512115
177	0.4003177907
178	0.4001306403
179	0.3999087069
180	0.3998378268
181	0.3997541469
182	0.3995968538
183	0.3994845079
184	0.3993855576
185	0.3992181806
186	0.3990942616
187	0.3990014539
188	0.398882295
189	0.3987965138
190	0.3986854427
191	0.3986163968
192	0.3985093264
193	0.3984229027
194	0.3983544234
195	0.3982780786
196	0.3980767294
197	0.397995576
198	0.3978704206
