iter	Passed	Remaining
0	4	4963
1	10	5023
2	14	4664
3	19	4784
4	24	4852
5	28	4695
6	33	4718
7	38	4728
8	42	4667
9	46	4575
10	51	4620
11	55	4607
12	60	4571
13	64	4517
14	68	4502
15	73	4509
16	77	4497
17	82	4477
18	87	4500
19	91	4493
20	95	4463
21	99	4427
22	104	4440
23	108	4411
24	112	4378
25	116	4362
26	121	4382
27	126	4388
28	130	4363
29	134	4353
30	138	4332
31	142	4323
32	146	4302
33	151	4293
34	155	4281
35	161	4311
36	168	4393
37	173	4390
38	177	4371
39	182	4370
40	186	4356
41	191	4379
42	197	4406
43	202	4402
44	207	4406
45	211	4393
46	216	4388
47	220	4376
48	224	4358
49	230	4373
50	234	4368
51	238	4351
52	242	4337
53	247	4331
54	251	4323
55	255	4306
56	259	4298
57	264	4292
58	268	4289
59	273	4287
60	278	4294
61	283	4284
62	287	4274
63	291	4268
64	296	4267
65	301	4268
66	306	4261
67	310	4260
68	315	4252
69	319	4239
70	323	4230
71	327	4223
72	332	4218
73	336	4214
74	341	4205
75	345	4203
76	350	4196
77	354	4191
78	359	4187
79	363	4181
80	368	4175
81	372	4165
82	377	4175
83	383	4178
84	388	4179
85	393	4177
86	397	4168
87	402	4171
88	407	4168
89	412	4168
90	418	4178
91	424	4188
92	428	4182
93	433	4173
94	438	4173
95	442	4169
96	446	4161
97	451	4154
98	455	4145
99	459	4138
100	465	4140
101	470	4138
102	474	4129
103	478	4126
104	483	4120
105	488	4119
106	492	4110
107	497	4112
108	504	4123
109	509	4119
110	513	4110
111	518	4113
112	523	4108
113	527	4101
114	532	4100
115	537	4098
116	542	4095
117	547	4093
118	553	4094
119	557	4089
120	561	4082
121	569	4095
122	577	4116
123	582	4118
124	587	4109
125	595	4127
126	605	4160
127	614	4185
128	621	4193
129	626	4194
130	631	4190
131	637	4191
132	647	4224
133	652	4219
134	662	4243
135	666	4234
136	671	4227
137	676	4223
138	681	4224
139	686	4217
140	692	4217
141	697	4211
142	702	4207
143	707	4207
144	712	4201
145	716	4192
146	721	4188
147	730	4204
148	734	4194
149	739	4188
150	744	4186
151	749	4179
152	753	4172
153	758	4167
154	762	4156
155	767	4154
156	776	4169
157	781	4162
158	785	4156
159	793	4165
160	801	4175
161	806	4173
162	811	4167
163	816	4160
164	821	4157
165	826	4150
166	830	4143
167	835	4139
168	845	4159
169	850	4152
170	855	4145
171	859	4138
172	864	4132
173	870	4132
174	874	4123
175	879	4115
176	885	4119
177	891	4116
178	895	4109
179	902	4109
180	910	4117
181	915	4115
182	920	4111
183	925	4104
184	932	4107
185	938	4107
186	944	4106
187	949	4101
188	954	4094
189	958	4087
190	963	4082
191	968	4074
192	972	4066
193	977	4059
194	982	4056
195	987	4051
196	992	4046
197	997	4041
198	1002	4035
199	1006	4027
200	1011	4020
201	1016	4016
202	1021	4008
203	1027	4007
204	1033	4006
205	1037	3998
206	1042	3992
207	1049	3996
208	1055	3993
209	1061	3993
210	1066	3986
211	1070	3979
212	1075	3974
213	1080	3967
214	1084	3961
215	1090	3956
216	1094	3950
217	1099	3944
218	1103	3936
219	1108	3931
220	1113	3925
221	1118	3920
222	1125	3920
223	1130	3916
224	1135	3909
225	1140	3906
226	1144	3898
227	1149	3893
228	1156	3892
229	1163	3894
230	1167	3886
231	1174	3886
232	1178	3880
233	1183	3875
234	1189	3872
235	1194	3865
236	1198	3859
237	1203	3853
238	1208	3848
239	1213	3841
240	1218	3838
241	1223	3832
242	1227	3825
243	1232	3818
244	1237	3813
245	1241	3804
246	1245	3798
247	1251	3794
248	1255	3787
249	1259	3779
250	1264	3773
251	1269	3768
252	1274	3761
253	1278	3753
254	1282	3746
255	1287	3741
256	1291	3734
257	1296	3727
258	1300	3722
259	1305	3714
260	1309	3707
261	1314	3702
262	1318	3695
263	1323	3689
264	1328	3684
265	1333	3679
266	1338	3673
267	1342	3665
268	1346	3660
269	1351	3653
270	1355	3646
271	1361	3643
272	1365	3636
273	1370	3630
274	1374	3624
275	1379	3618
276	1384	3613
277	1389	3607
278	1394	3602
279	1398	3596
280	1402	3589
281	1423	3625
282	1430	3624
283	1439	3630
284	1452	3643
285	1470	3670
286	1480	3678
287	1489	3681
288	1496	3680
289	1505	3684
290	1512	3685
291	1519	3685
292	1528	3689
293	1538	3695
294	1545	3692
295	1552	3692
296	1559	3692
297	1565	3687
298	1574	3690
299	1581	3690
300	1592	3698
301	1600	3699
302	1609	3702
303	1618	3704
304	1625	3704
305	1635	3710
306	1641	3705
307	1648	3703
308	1655	3702
309	1661	3698
310	1667	3694
311	1677	3699
312	1685	3699
313	1690	3693
314	1698	3693
315	1704	3689
316	1710	3685
317	1716	3682
318	1723	3679
319	1730	3676
320	1736	3673
321	1743	3671
322	1751	3670
323	1757	3665
324	1763	3661
325	1771	3662
326	1779	3662
327	1784	3656
328	1791	3654
329	1797	3649
330	1803	3645
331	1809	3640
332	1814	3634
333	1820	3629
334	1826	3626
335	1831	3620
336	1836	3613
337	1842	3608
338	1847	3603
339	1852	3596
340	1858	3591
341	1863	3584
342	1868	3578
343	1874	3575
344	1879	3568
345	1884	3562
346	1891	3558
347	1899	3558
348	1905	3555
349	1910	3548
350	1916	3543
351	1922	3539
352	1928	3534
353	1933	3527
354	1939	3523
355	1944	3517
356	1948	3509
357	1953	3503
358	1957	3495
359	1962	3488
360	1966	3480
361	1970	3473
362	1975	3466
363	1979	3459
364	1985	3454
365	1990	3448
366	1995	3441
367	2001	3437
368	2008	3434
369	2013	3429
370	2020	3425
371	2024	3417
372	2028	3410
373	2033	3403
374	2039	3399
375	2044	3393
376	2051	3389
377	2055	3383
378	2060	3376
379	2065	3369
380	2069	3362
381	2074	3356
